split_train,feature,N_train,NaN_train,median_train,p95_train,split_test,N_test,NaN_test,median_test,p95_test,median_gap,p95_ratio
HZ-900,haze_score,900,0,0.5392862260341644,0.7686314105987548,HZ-135,135,0,0.4821079075336456,0.7356569945812226,0.057178318500518854,1.0448230850252476
HZ-900,brightness,900,0,0.7642120735318053,0.8842103210150026,HZ-135,135,0,0.7281527051738664,0.8751052642024421,0.03605936835793888,1.0104045275294495
HZ-900,local_contrast,900,0,26.991449047744837,42.666847635767326,HZ-135,135,0,30.66255256153892,40.2695734246713,3.6711035137940833,1.0595306581923545
HZ-900,hist_entropy,900,0,6.698919500000001,7.36971348,HZ-135,135,0,6.9460382,7.32851491,0.2471186999999997,1.0056216805868516
HZ-900,edge_density_diff,900,0,0.15261077880859375,0.24805068969726557,HZ-135,135,0,0.1844482421875,0.2447769165039062,0.03183746337890625,1.01337451766334
HZ-900,retinex_mean,900,0,-0.0090888324193656,-0.003200637677218685,HZ-135,135,0,-0.0144739290699362,-0.0038192875916138003,0.0053850966505706,
HZ-900,color_skew,900,0,-0.4718359689791996,0.12722778954060895,HZ-135,135,0,-0.4281315343607685,0.23886600864291951,0.0437044346184311,0.53263245893978
HZ-900,colorfulness,900,0,11.018728256225586,14.618944597244258,HZ-135,135,0,11.261500358581545,14.391524028778075,0.2427721023559588,1.0158023964669356
HZ-900,gradient_entropy,900,0,7.415000677108765,7.79156196117401,HZ-135,135,0,7.563493728637695,7.7443437576293945,0.14849305152893066,1.0060971213342769
HZ-900,hue_spread,900,0,0.07092800271403371,0.12996100342685857,HZ-135,135,0,0.1103303084764292,0.16781498291750296,0.03940230576239549,0.7744302753392811
HZ-900,hf_energy_fft,900,0,2.8417375087738037,3.1877511143684387,HZ-135,135,0,2.865840435028076,3.102100467681885,0.02410292625427246,1.0276105327918532
HZ-900,hf_energy_wavelet,900,0,0.0856549255549907,0.13069925978779792,HZ-135,135,0,0.0970835387706756,0.12129190936684604,0.011428613215684905,1.077559587198017
